Frequency_GHz,Mean_conductivity,Std_conductivity,Scale,Mode,GroupName
12.6637799086842,2.41461717693275,0.240720111339326,1,conductivity,MEGTRON6
23.2560616034737,0.822791921707313,0.161164177848581,1,conductivity,MEGTRON6
33.7959714932632,0.491352354652235,0.116905643037303,1,conductivity,MEGTRON6
44.3247411903684,0.363208632339754,0.0961088237020586,1,conductivity,MEGTRON6
54.847296386,0.260956512850364,0.102773808182071,1,conductivity,MEGTRON6
65.3264487284737,0.344187655612493,0.276355684814993,1,conductivity,MEGTRON6
75.7767222074737,0.140333862726508,0.162011438695025,1,conductivity,MEGTRON6
86.4698769771052,0.0340715316179647,0.0717320754810285,1,conductivity,MEGTRON6
96.5272460660715,0.107723925803276,0.186382433012032,1,conductivity,MEGTRON6
106.921580895714,0.0365528984956235,0.0302116071943485,1,conductivity,MEGTRON6
